config_id,budget,performance,performance_seed_0,performance_seed_1,performance_seed_2,algorithm_kwargs.batch_size,algorithm_kwargs.entropy_coef,algorithm_kwargs.gamma,algorithm_kwargs.learning_rate,algorithm_kwargs.max_grad_norm,algorithm_kwargs.n_gradient_steps,algorithm_kwargs.ppo_clip,algorithm_kwargs.value_loss_coef
0,,0.0,0.0,0.0,0.0,256,0.0058570134453,0.9992996135009,9.96239544e-05,0.2676435066387,18,0.1979639710858,0.8402863210998
1,,0.13598333333333334,0.1754,0.04329999999999999,0.18925,16,0.0914684512652,0.9023917072948,0.0008560988721,0.8143716314808,5,0.2174507634714,0.1176220646128
2,,0.0,0.0,0.0,0.0,32,0.0360638050362,0.9672677895617,1.15200783e-05,0.7212077081203,6,0.1204432630911,0.3567281329073
3,,0.09165000000000001,0.09735,0.07215,0.10545,128,0.072077119723,0.9328625967113,0.0001316699371,0.3959638509899,13,0.2883553573862,0.6575482867658
4,,0.17361666666666667,0.0,0.48885000000000006,0.031999999999999994,128,0.0478315348737,0.9148993789215,0.0001868813531,0.4823831678368,19,0.1412712635472,0.4735560791567
5,,0.018949999999999998,0.038799999999999994,0.0,0.01805,32,0.0619696588255,0.9868163330114,2.14139139e-05,0.5793585990556,2,0.2749064104632,0.767319235485
6,,0.04523333333333333,0.07794999999999999,0.05774999999999999,0.0,8,0.0159643789753,0.9453535480907,0.0005124206648,0.9572881071828,9,0.1653252625838,0.9502023454756
7,,0.05321666666666666,0.05904999999999999,0.0654,0.0352,512,0.0797010075301,0.9548012293193,4.39225796e-05,0.1817971582524,11,0.2442851254717,0.2345401582308
8,,0.007516666666666665,0.0,0.022549999999999997,0.0,128,0.0584963534116,0.9051640078325,0.0003669938164,0.5962370385696,16,0.1406894059875,0.3282200400324
9,,0.12151666666666666,0.0757,0.28885,0.0,128,0.0478315348737,0.922911666476,0.0001868813531,0.5903981143276,19,0.1412712635472,0.4728199628552
10,,0.07216666666666667,0.10095000000000001,0.11555,0.0,128,0.0478315348737,0.9148993789215,0.0001870629935,0.4823831678368,19,0.1412712635472,0.4601226189517
11,,0.07285000000000001,0.19195,0.026600000000000002,0.0,128,0.0478408586993,0.9149049522864,0.0001871977261,0.48236009821,19,0.1410492593841,0.4734277658856
12,,0.0,0.0,0.0,0.0,8,0.0013659038381,0.9502899682913,3.91558061e-05,0.1978203782965,6,0.2637528205103,0.2164207295911
13,,0.09718333333333334,0.15550000000000003,0.045950000000000005,0.0901,128,0.0478103291235,0.9141454534681,0.0001869151978,0.4578380019979,19,0.1414235966151,0.4738164021268
14,,0.03485,0.0,0.0,0.10454999999999999,128,0.0478388373529,0.9136449788686,0.0001869151978,0.4651232264307,19,0.1414235966151,0.4738164021268
15,,0.15546666666666664,0.01265,0.34829999999999994,0.10545,128,0.0478664605216,0.9149049522864,0.0001870831797,0.4304436829153,19,0.1413187554824,0.4741685054443
16,,0.010233333333333332,0.030699999999999995,0.0,0.0,16,0.0311257692873,0.9672799570302,1.1294774e-05,0.9997790143909,18,0.1667475668729,0.7947087475477
17,,0.11251666666666665,0.10955,0.0766,0.15139999999999998,128,0.0478103291235,0.9150404010329,0.0001869151978,0.4805599686011,19,0.1414235966151,0.4738164021268
18,,0.06293333333333333,0.040549999999999996,0.14825,0.0,128,0.047911882101,0.91462263657,0.0001865980519,0.4827254124063,19,0.1412712635472,0.4718476533958
19,,0.18911666666666663,0.18569999999999998,0.38164999999999993,0.0,128,0.0478778902727,0.91476663761,0.0001865980519,0.4804219855884,19,0.1412712635472,0.4736495299629
20,,0.10891666666666666,0.17980000000000002,0.04195,0.10500000000000001,128,0.0478778902727,0.91476663761,0.0001865980519,0.4785389044639,19,0.1412712635472,0.4736495299629
21,,0.024783333333333334,0.0,0.0,0.07435,128,0.0478315348737,0.9148057147839,0.0001865114766,0.4808363691467,19,0.1412712635472,0.4738442589387
22,,0.06491666666666666,0.08744999999999999,0.0068000000000000005,0.10049999999999999,128,0.0478649890761,0.9147252229483,0.0001861726853,0.4816903180538,19,0.1414235966151,0.4738164021268
23,,0.02946666666666667,0.04735,0.0,0.041049999999999996,128,0.0478915223409,0.9148057147839,0.0001865114766,0.4813776193216,19,0.1412712635472,0.4738442589387
24,,0.08788333333333333,0.23929999999999998,0.0,0.02435,128,0.0479065829476,0.914996466505,0.000187141471,0.434727058311,19,0.1415823001456,0.4746811731491
25,,0.06293333333333333,0.0383,0.0,0.1505,128,0.0478517845478,0.914996466505,0.000187141471,0.434727058311,19,0.1414319573966,0.4746811731491
26,,0.09946666666666665,0.0,0.23034999999999997,0.06804999999999999,128,0.0478263727529,0.9149860939048,0.000187141471,0.4363541034797,19,0.1415823001456,0.4746811731491
27,,0.07121666666666666,0.028849999999999997,0.0185,0.16629999999999998,16,0.0914692607506,0.9023877932965,0.0008570678581,0.8143709212197,5,0.2175000934084,0.1180313609917
28,,0.11706666666666667,0.0586,0.08385000000000001,0.20875,16,0.0914621106431,0.9023581886915,0.0008551776748,0.8142725998189,5,0.2173981062031,0.117492098225
29,,0.1376,0.21539999999999998,0.08295,0.11445000000000001,16,0.0914484122135,0.9023902769738,0.0008576451824,0.8143148415369,5,0.2174721280104,0.1174342045873
30,,0.16748333333333335,0.11535,0.0865,0.30060000000000003,16,0.0914484122135,0.9023902769738,0.0008568274929,0.8143148415369,5,0.2174111625202,0.1166136978693
31,,0.11309999999999999,0.0883,0.251,0.0,16,0.0314870650013,0.9480092974121,0.0002040267021,0.1720414385072,2,0.1532028880544,0.7060696732267
